,area,price,sqFt,sqFt price,Bedrooms,posted date
1211," in Patelguda, Hyderabad",38.58 lakhs,988 SqFeet,3905,2 Bedroom,4 days ago
1212," in Muthangi, Hyderabad",30.5 lakhs,888 SqFeet,3435,2 Bedroom,5 days ago
1213," in Muthangi, Hyderabad",33.88 lakhs,909 SqFeet,3727,2 Bedroom,6 days ago
1214," in Muthangi, Hyderabad",36.2 lakhs,966 SqMeters,,2 Bedroom,6 days ago
1215," in Kistareddypet, Hyderabad",44.2 lakhs,954 SqFeet,4633,2 Bedroom,6 days ago
1216," in Satamrai, Hyderabad",44 lakhs,800 SqFeet,5500,2 Bedroom,6 days ago
1217," in Indresham, Hyderabad",35.2 lakhs,977 SqFeet,3603,2 Bedroom,6 days ago
1218," in Patelguda, Hyderabad",45.5 lakhs,1000 SqFeet,4550,2 Bedroom,6 days ago
1219," in Beeramguda, Hyderabad",45.05 lakhs,1088 SqFeet,4141,2 Bedroom,6 days ago
1220," in Gopanapalli, Hyderabad",1.17 crore,1890 SqFeet,6199,3 Bedroom,6 days ago
1221," in Attapur, Hyderabad",1.31 crore,1640 SqFeet,8000,3 Bedroom,6 days ago
1222," Reddy Nagar, Hyderabad",40 - 60 lacs,1100 SqFeet,,2 Bedroom,5 days ago
1223," Station Township, Gachibowli",,1432 SqFeet,,2 Bedroom,
1224," in Patancheru, Hyderabad",32.18 lakhs,900 SqFeet,3576,2 Bedroom,7 days ago
1225," Banjara Hills, Hyderabad",3.9 crores,3388 SqFeet,11500,3 Bedroom,18 minutes ago
1226," Banjara Hills, Hyderabad",2.85 crores,2477 SqFeet,11500,3 Bedroom,18 minutes ago
1227," Station Township, Gachibowli",99 lakhs,1894 SqFeet,5227,3 Bedroom,
1228," Station Township, Gachibowli",99 lakhs,1784 SqFeet,5549,3 Bedroom,
1229," Station Township, Gachibowli",99 lakhs,1687 SqFeet,5868,3 Bedroom,
1230," Station Township, Gachibowli",96 lakhs,124.86 SqMeters,,3 Bedroom,
1231," Station Township, Gachibowli",99 lakhs,1432 SqFeet,6913,3 Bedroom,
1232," Station Township, Gachibowli",99 lakhs,2191 SqFeet,4518,3 Bedroom,
1233," Nagar Colony, Hyderabad",1.25 crore,1920 SqFeet,6510,3 Bedroom,Yesterday
1234," Banjara Hills, Hyderabad",2.76 crores,2400 SqFeet,11500,3 Bedroom,3 days ago
1235," in Attapur, Hyderabad",2.14 crores,2680 SqFeet,8000,3 Bedroom,3 days ago
1236," in Patelguda, Hyderabad",38.58 lakhs,988 SqFeet,3905,2 Bedroom,4 days ago
1237," in Muthangi, Hyderabad",30.5 lakhs,888 SqFeet,3435,2 Bedroom,5 days ago
1238," in Muthangi, Hyderabad",33.88 lakhs,909 SqFeet,3727,2 Bedroom,6 days ago
1239," in Muthangi, Hyderabad",36.2 lakhs,966 SqMeters,,2 Bedroom,6 days ago
1240," in Kistareddypet, Hyderabad",44.2 lakhs,954 SqFeet,4633,2 Bedroom,6 days ago
1241," in Satamrai, Hyderabad",44 lakhs,800 SqFeet,5500,2 Bedroom,6 days ago
1242," in Indresham, Hyderabad",35.2 lakhs,977 SqFeet,3603,2 Bedroom,6 days ago
1243," in Patelguda, Hyderabad",45.5 lakhs,1000 SqFeet,4550,2 Bedroom,6 days ago
1244," in Beeramguda, Hyderabad",45.05 lakhs,1088 SqFeet,4141,2 Bedroom,6 days ago
1245," in Gopanapalli, Hyderabad",1.17 crore,1890 SqFeet,6199,3 Bedroom,6 days ago
1246," in Attapur, Hyderabad",1.31 crore,1640 SqFeet,8000,3 Bedroom,6 days ago
1247," Reddy Nagar, Hyderabad",40 - 60 lacs,1100 SqFeet,,2 Bedroom,5 days ago
1248," Station Township, Gachibowli",,1432 SqFeet,,2 Bedroom,
1249," in Patancheru, Hyderabad",32.18 lakhs,900 SqFeet,3576,2 Bedroom,7 days ago
